Geneid	mock1	mock2	cov1	cov2
LOC283140	27	35	9	13
LOC101928823	0	0	0	1
LOC387810	1	1	0	0
LOC101928847	22	29	11	5
NCAM1	1636	1564	560	613
NCAM1-AS1	2	0	0	1
TTC12	585	522	268	273
ANKK1	7	9	3	2
DRD2	5	4	4	6
MIR4301	0	0	0	0
TMPRSS5	14	25	16	12
ZW10	1720	1932	1190	1124
CLDN25	0	0	0	0
USP28	2446	2368	1211	1368
HTR3B	3	3	2	2
HTR3A	7	5	0	0
ZBTB16	77	77	32	31
NNMT	0	0	0	0
LOC101928940	6	0	2	1
C11orf71	266	291	81	98
RBM7	654	867	320	413
REXO2	748	774	384	393
NXPE1	1	2	2	1
NXPE4	0	0	1	0
NXPE2	1	0	1	1
CADM1	2586	2762	1381	1601
LINC00900	1	2	0	1
BUD13	836	820	466	481
ZPR1	1095	1205	680	728
APOA5	3	1	1	1
APOA4	0	0	0	0
APOC3	0	0	1	0
APOA1	0	1	1	0
APOA1-AS	6	12	3	2
SIK3	553	543	409	428
PAFAH1B2	3750	3854	2598	3116
SIDT2	321	303	167	186
LOC100652768	5	15	9	10
TAGLN	41	28	22	25
PCSK7	274	266	188	203
RNF214	789	738	423	514
BACE1	843	875	466	545
BACE1-AS	29	34	16	28
CEP164	811	827	425	400
DSCAML1	7	6	3	1
FXYD2	0	0	0	0
FXYD6-FXYD2	0	0	0	0
FXYD6	165	153	63	92
TMPRSS13	20	13	7	2
IL10RA	30	20	16	14
TMPRSS4-AS1	0	0	0	0
TMPRSS4	0	2	1	0
SCN4B	76	78	59	58
SCN2B	15	18	12	4
AMICA1	2	0	2	1
MPZL3	72	86	56	56
MPZL2	8	9	4	0
CD3E	1	0	0	0
CD3D	1	0	0	0
CD3G	0	1	0	0
UBE4A	3586	3856	2238	2320
LOC100131626	2	4	3	3
ATP5L	3652	4260	1783	1936
KMT2A	6580	6249	4748	5248
LOC101929089	12	10	1	5
TTC36	7	8	4	1
TMEM25	251	251	117	155
IFT46	1198	1319	497	513
ARCN1	6305	6390	3141	3361
PHLDB1	358	369	226	233
MIR6716	0	0	0	0
TREH	3	6	6	4
DDX6	11643	11989	7175	7749
CXCR5	0	1	1	1
BCL9L	207	143	129	143
MIR4492	0	0	0	0
UPK2	0	1	4	2
FOXR1	2	3	1	1
CCDC84	251	209	151	136
RPL23AP64	63	55	37	36
RPS25	8380	8828	2449	2695
TRAPPC4	846	928	425	376
MIR3656	0	0	0	0
SLC37A4	1226	1215	513	510
HYOU1	3895	3937	1759	1850
VPS11	724	690	473	492
HMBS	970	904	579	583
H2AFX	1666	1642	941	935
DPAGT1	654	557	356	358
C2CD2L	225	232	129	151
HINFP	462	459	254	289
ABCG4	61	53	39	39
NLRX1	260	275	145	150
PDZD3	6	4	4	3
CCDC153	26	20	7	13
CBL	2839	2917	1807	2203
MCAM	366	347	195	206
MIR6756	0	0	0	0
RNF26	743	745	502	532
C1QTNF5	0	0	0	0
MFRP	0	0	0	0
USP2	205	216	166	196
USP2-AS1	34	27	15	18
THY1	14	5	21	6
PVRL1	171	184	145	165
LOC102724301	0	2	0	0
TRIM29	2	1	0	0
OAF	398	397	234	252
POU2F3	1	2	0	1
LOC649133	0	0	0	0
TMEM136	747	812	218	244
ARHGEF12	5565	5798	3859	4254
GRIK4	40	25	21	8
TBCEL	1364	1377	778	751
TECTA	59	47	49	59
SC5D	7966	8614	3642	4132
SORL1	540	545	352	382
MIR100HG	0	0	0	0
MIR125B1	0	0	0	0
BLID	0	0	0	0
MIRLET7A2	1	1	5	2
MIR100	0	0	0	0
UBASH3B	413	457	289	292
CRTAM	1	0	0	1
C11orf63	279	303	149	125
BSX	1	1	0	0
LOC341056	86	88	57	68
HSPA8	10867	10451	16236	17168
SNORD14E	13	8	8	10
SNORD14D	15	22	16	19
SNORD14C	49	42	28	54
CLMP	91	88	51	59
MIR4493	0	0	0	0
GRAMD1B	262	232	177	179
SCN3B	93	78	32	46
ZNF202	573	625	357	428
OR6X1	0	0	0	0
OR6M1	0	0	0	0
TMEM225	0	1	0	1
OR8D4	0	0	0	0
OR4D5	0	0	0	0
OR6T1	0	0	0	0
OR10S1	0	0	0	0
OR10G4	0	0	0	0
OR10G9	0	0	0	0
OR10G8	0	1	0	0
OR10G7	0	0	0	0
VWA5A	23	27	8	14
OR8G2	0	0	1	0
OR8G1	0	0	0	0
OR8G5	0	0	0	0
OR8D1	0	0	0	0
OR8D2	0	0	0	0
OR8B2	0	0	0	0
OR8B3	0	0	0	0
OR8B4	0	0	0	0
OR8B8	0	0	0	0
OR8B12	0	0	0	0
OR8A1	0	0	0	0
PANX3	0	2	1	0
TBRG1	717	740	415	472
SIAE	546	622	229	231
SPA17	368	388	185	205
NRGN	200	198	146	135
VSIG2	33	17	22	30
ESAM	24	14	20	30
LOC101929340	55	44	26	38
MSANTD2	253	247	142	179
LOC100507283	59	45	15	21
ROBO3	250	227	85	108
ROBO4	6	3	5	7
HEPN1	0	0	0	0
HEPACAM	3	2	0	0
CCDC15	1240	1242	421	424
SLC37A2	63	65	35	44
TMEM218	550	624	242	244
PKNOX2-AS1	2	1	2	1
PKNOX2	340	368	168	213
FEZ1	445	436	187	172
LOC403312	26	30	15	12
EI24	4902	5055	3078	3155
STT3A	10081	9991	3356	3559
CHEK1	3801	4161	1742	1855
ACRV1	49	46	24	28
PATE1	1	0	2	0
PATE2	1	2	1	1
PATE3	0	2	2	0
PATE4	2	3	4	2
HYLS1	327	353	169	178
PUS3	636	646	322	375
DDX25	16	6	7	2
CDON	911	785	557	637
RPUSD4	763	714	494	483
FAM118B	577	585	457	477
SRPR	2116	2126	1104	1148
FOXRED1	560	562	276	274
TIRAP	280	278	124	137
DCPS	219	216	156	180
ST3GAL4-AS1	58	46	25	22
ST3GAL4	232	244	136	164
KIRREL3	11	5	7	8
LOC101929427	1	1	0	0
KIRREL3-AS2	0	0	0	0
MIR3167	0	0	0	0
KIRREL3-AS3	0	0	0	0
LOC101929473	0	0	0	0
LOC101929497	0	0	0	0
ETS1	170	176	67	72
MIR6090	0	0	0	0
LOC101929517	0	0	0	0
FLI1	186	196	92	61
SENCR	1	4	1	4
KCNJ1	24	25	10	11
KCNJ5	9	3	0	2
C11orf45	86	67	36	36
TP53AIP1	5	0	2	0
ARHGAP32	1072	1191	501	607
BARX2	102	84	42	51
LINC01395	0	0	0	0
TMEM45B	24	23	9	24
NFRKB	1259	1185	852	912
PRDM10	368	343	287	315
LINC00167	9	8	8	8
APLP2	7627	7510	3603	3868
ST14	3	4	2	1
ZBTB44	3331	3466	1962	2272
ADAMTS8	12	7	6	3
ADAMTS15	50	63	40	34
MIR8052	0	0	0	0
C11orf44	0	0	0	0
LOC100507431	1	0	0	0
LOC103611081	0	1	0	4
SNX19	26	19	16	8
NTM	1	1	2	0
LOC101929653	0	0	0	0
C11orf39	0	0	0	0
NTM-IT	0	0	0	0
OPCML	0	0	0	0
LOC646522	0	0	1	1
SPATA19	0	0	1	0
MIR4697HG	238	226	138	149
MIR4697	0	0	0	0
IGSF9B	183	162	95	104
LOC100128239	10	6	7	3
JAM3	1749	1655	977	982
NCAPD3	5221	4904	3507	3808
VPS26B	1007	980	557	650
THYN1	969	1164	543	543
ACAD8	360	374	204	214
GLB1L3	64	44	25	23
GLB1L2	302	293	194	208
B3GAT1	49	43	27	25
LOC283177	4	3	2	2
OR8U9	0	0	0	0
LOC100288778	76	43	20	22
IQSEC3	17	31	9	14
LOC574538	2	0	0	4
SLC6A12	9	6	5	13
LOC101929384	7	3	0	4
SLC6A13	5	3	13	15
LOC102723544	1	0	6	2
KDM5A	4958	4816	2862	3027
CCDC77	1117	1161	651	692
B4GALNT3	269	234	176	208
NINJ2	9	11	3	4
LOC100049716	66	71	30	37
WNK1	5303	5317	2839	3456
RAD52	650	585	271	315
ERC1	1769	1710	1446	1477
LINC00942	3	3	3	2
FBXL14	137	91	91	96
WNT5B	106	86	45	41
MIR3649	0	0	0	0
ADIPOR2	2529	2498	1497	1633
CACNA2D4	15	11	16	12
LRTM2	1	3	2	1
LINC00940	2	1	0	0
DCP1B	540	500	265	230
CACNA1C-IT2	0	0	0	0
CACNA1C	203	193	77	107
CACNA1C-AS4	4	5	3	4
CACNA1C-IT3	3	2	2	1
CACNA1C-AS2	0	1	0	3
CACNA1C-AS1	6	3	2	4
LOC283440	5	7	2	1
FKBP4	4381	4163	3936	4029
ITFG2	288	302	163	169
NRIP2	108	97	51	69
LOC100507424	31	36	20	15
FOXM1	1707	1712	1124	1324
RHNO1	992	1197	470	507
TULP3	623	574	343	354
TEAD4	332	331	219	256
TSPAN9	247	297	170	185
PRMT8	0	0	1	2
THCAT155	2	0	0	2
CRACR2A	131	125	79	88
PARP11	564	661	236	288
CCND2-AS1	6	12	6	8
CCND2	6055	6399	3006	3322
TIGAR	915	892	688	768
FGF23	13	10	5	11
FGF6	0	0	1	3
C12orf4	1222	1346	730	830
RAD51AP1	3176	4102	1043	1133
DYRK4	653	701	232	234
AKAP3	93	100	36	33
NDUFA9	1461	1455	985	1030
LOC101929549	9	6	10	11
GALNT8	13	18	14	22
KCNA6	110	71	31	43
KCNA1	14	7	15	22
KCNA5	0	0	1	1
LOC101929584	0	0	0	0
NTF3	0	0	1	1
ANO2	12	4	1	4
VWF	1	1	0	1
CD9	665	725	392	417
PLEKHG6	10	15	5	7
TNFRSF1A	524	519	304	320
SCNN1A	2	2	1	2
LTBR	2	2	0	2
CD27-AS1	32	35	13	8
CD27	3	4	0	1
TAPBPL	20	14	3	8
VAMP1	328	325	147	178
MRPL51	2913	3022	1798	1941
NCAPD2	3747	3721	2210	2427
SCARNA10	8021	10859	3646	4012
GAPDH	41928	45586	13343	12645
IFFO1	284	275	186	188
NOP2	1645	1509	1502	1594
CHD4	6766	6455	5136	5800
SCARNA11	2	3	0	1
LPAR5	9	2	3	2
ACRBP	3	9	7	4
ING4	792	794	187	188
ZNF384	688	644	520	565
PIANP	110	120	82	83
COPS7A	761	756	431	430
MLF2	2135	2082	1267	1288
PTMS	1590	1382	932	1134
LAG3	3	0	3	7
CD4	55	34	13	24
GPR162	122	75	49	57
P3H3	308	308	168	180
GNB3	81	72	35	47
CDCA3	485	460	295	314
USP5	941	920	668	793
TPI1	6827	7038	3686	3705
SPSB2	72	80	43	40
RPL13P5	26	10	13	9
DSTNP2	52	49	36	26
LRRC23	168	163	45	53
ENO2	584	680	230	266
ATN1	1168	1036	744	806
C12orf57	1287	1460	399	434
RNU7-1	0	0	0	0
PTPN6	16	20	14	9
MIR200C	7	3	2	4
MIR141	1	0	0	0
PHB2	4285	4579	2493	2657
SCARNA12	1528	1818	748	864
EMG1	602	695	456	447
LPCAT3	615	567	347	418
C1S	59	47	71	72
C1R	141	131	74	76
C1RL	52	38	21	25
C1RL-AS1	28	32	8	11
RBP5	30	22	2	5
CLSTN3	660	605	268	325
PEX5	608	592	409	354
ACSM4	0	0	1	0
CD163L1	0	1	3	4
CD163	0	0	0	1
APOBEC1	0	0	0	0
GDF3	0	0	0	0
DPPA3	0	0	0	1
CLEC4C	1	0	0	0
NANOGNB	1	0	0	0
NANOG	0	0	0	0
SLC2A14	15	5	3	2
SLC2A3	356	344	96	123
FOXJ2	520	511	314	339
C3AR1	0	3	3	5
NECAP1	1511	1653	692	691
CLEC4A	19	10	16	15
POU5F1P3	1	3	0	1
ZNF705A	3	3	3	4
FAM66C	69	64	22	27
FAM90A1	26	20	10	4
FAM86FP	105	89	23	21
LOC101927905	13	23	5	3
LINC00937	9	17	4	4
CLEC6A	0	0	0	0
CLEC4D	0	0	0	0
CLEC4E	0	0	0	1
AICDA	2	0	0	0
MFAP5	0	1	0	1
RIMKLB	1710	1898	776	904
A2ML1	12	10	2	6
PHC1	106	105	62	75
M6PR	1229	1380	697	738
KLRG1	86	90	43	28
LINC00612	13	6	8	8
A2M-AS1	36	28	15	7
A2M	72	52	34	18
PZP	51	36	12	15
A2MP1	6	3	2	1
MIR1244-1	0	0	0	0
MIR1244-2	0	0	0	0
MIR1244-3	0	0	0	0
MIR1244-4	0	0	0	0
LINC00987	70	85	62	69
LOC642846	254	206	112	124
LOC101930452	53	48	29	28
LOC101928030	1	2	3	0
DDX12P	378	348	157	165
KLRB1	14	22	4	4
LOC374443	536	530	117	133
CLEC2D	765	750	301	326
CLECL1	1	0	1	1
CD69	0	1	0	0
KLRF1	0	0	0	0
CLEC2B	0	0	1	1
KLRF2	1	0	1	1
CLEC2A	0	1	0	0
LOC100506159	0	0	0	0
CLEC12A	1	0	1	2
CLEC1B	0	0	1	0
CLEC12B	0	1	0	0
LOC102724020	0	0	0	0
CLEC9A	0	0	0	0
CLEC1A	0	1	1	0
CLEC7A	1	1	0	0
OLR1	0	0	0	1
TMEM52B	6	7	2	3
GABARAPL1	1475	1529	519	571
KLRD1	3	2	4	3
LOC101928100	76	72	16	21
KLRC4-KLRK1	0	3	2	1
KLRK1	0	2	1	0
KLRC4	0	0	1	0
KLRC3	2	4	2	1
KLRC2	5	2	1	1
KLRC1	2	2	2	6
KLRAP1	178	157	70	76
MAGOHB	1071	1443	563	615
STYK1	42	31	21	21
YBX3	3760	4197	2003	2217
LOC101928162	0	0	2	0
TAS2R7	0	1	2	2
TAS2R8	1	0	5	2
TAS2R9	5	2	4	6
TAS2R10	16	10	6	12
PRR4	2	1	0	0
PRH1-PRR4	9	16	4	3
PRH1	11	6	4	0
TAS2R13	68	57	37	40
PRH2	171	155	101	99
TAS2R14	97	95	44	45
TAS2R50	39	47	32	26
TAS2R20	165	172	50	49
TAS2R19	118	117	57	42
TAS2R31	109	98	42	49
TAS2R46	45	33	19	26
TAS2R43	34	25	11	16
TAS2R30	105	86	51	60
SMIM10L1	761	878	371	428
TAS2R42	6	6	4	8
PRB3	15	8	4	9
PRB4	19	8	9	5
PRB1	6	4	3	2
PRB2	8	8	1	1
LINC01252	76	54	24	27
ETV6	207	196	171	214
BCL2L14	13	9	7	8
LRP6	3911	3788	2156	2448
MANSC1	154	147	127	151
LOH12CR2	16	13	6	8
LOH12CR1	136	180	105	118
DUSP16	2177	2168	1419	1702
CREBL2	1110	1241	422	539
GPR19	58	61	26	15
CDKN1B	1259	1597	585	738
APOLD1	298	310	63	93
MIR613	5	4	1	2
DDX47	1722	1834	1389	1401
RPL13AP20	104	86	21	28
GPRC5A	95	90	46	66
MIR614	1	5	1	0
GPRC5D	0	2	1	1
HEBP1	615	611	271	292
LOC100506314	13	17	10	9
HTR7P1	82	82	39	49
KIAA1467	1222	1240	574	635
GSG1	24	33	19	15
EMP1	59	71	26	15
LINC01559	1	0	2	0
GRIN2B	4	2	2	3
ATF7IP	2368	2328	1363	1576
PLBD1	8	10	5	7
PLBD1-AS1	0	0	1	0
GUCY2C	4	3	1	7
HIST4H4	1713	1881	940	879
H2AFJ	195	186	80	76
WBP11	1749	1918	1286	1465
C12orf60	86	95	33	44
SMCO3	33	35	24	19
ART4	10	10	6	2
MGP	2	6	2	1
ERP27	1	1	0	1
ARHGDIB	1	1	0	0
PDE6H	0	1	0	0
LINC01489	0	0	0	1
RERG	96	83	33	42
RERG-AS1	1	0	1	0
PTPRO	50	31	18	24
EPS8	909	882	484	548
STRAP	5779	6356	3188	3507
DERA	738	868	392	380
SLC15A5	2	0	2	3
MGST1	282	302	231	225
LMO3	8	13	4	9
SKP1P2	91	117	51	45
MIR3974	0	0	0	0
RERGL	0	0	0	0
PIK3C2G	0	0	1	3
PLCZ1	0	0	1	0
CAPZA3	0	0	0	0
PLEKHA5	1669	1666	860	864
AEBP2	1935	2053	1040	1185
LOC100506393	0	0	0	0
PDE3A	33	41	22	22
SLCO1C1	0	0	0	2
SLCO1B3	0	0	0	0
SLCO1B7	0	0	1	0
SLCO1B1	0	1	2	0
SLCO1A2	2	2	3	2
IAPP	3	2	3	5
PYROXD1	278	331	118	128
RECQL	2145	2276	1027	1079
GOLT1B	2271	2979	675	856
SPX	22	28	7	11
GYS2	8	6	16	12
LDHB	37957	40773	18809	19069
KCNJ8	727	732	274	289
ABCC9	50	29	20	38
CMAS	2526	2995	1028	1176
ST8SIA1	6	1	5	5
C2CD5	2999	3182	1353	1449
ETNK1	2683	2552	2107	2387
LOC101928441	3	4	1	0
SOX5	132	98	73	89
MIR920	2	0	0	1
LOC101928471	2	4	4	0
LINC00477	7	9	5	4
BCAT1	6459	6944	2961	3377
C12orf77	0	0	0	1
LRMP	5	4	5	4
CASC1	28	54	20	18
LYRM5	322	473	151	170
KRAS	1737	2000	1235	1540
LMNTD1	1	3	0	2
MIR4302	0	0	0	0
RASSF8-AS1	38	34	22	29
RASSF8	1936	2157	734	796
BHLHE41	182	166	57	84
SSPN	176	211	85	89
ITPR2	1589	1480	976	1121
ASUN	2982	3157	1532	1616
FGFR1OP2	2861	3502	1340	1533
TM7SF3	1721	1753	864	983
MED21	1015	1086	651	719
C12orf71	7	7	2	1
STK38L	1669	1911	941	1083
ARNTL2	1691	1817	1055	1070
ARNTL2-AS1	16	16	5	3
SMCO2	34	27	11	10
PPFIBP1	1169	1265	558	589
REP15	10	5	9	7
MRPS35	1786	2025	1049	1135
MANSC4	8	8	1	2
KLHL42	724	768	524	609
PTHLH	21	24	15	13
CCDC91	830	865	403	482
FAR2	1137	1210	735	774
LOC100506606	63	64	44	39
ERGIC2	2259	2617	1097	1178
OVCH1-AS1	1	0	0	2
OVCH1	6	3	7	5
TMTC1	936	934	451	574
IPO8	3943	4178	2391	2548
CAPRIN2	1138	1167	439	521
LINC00941	2	6	1	3
TSPAN11	128	121	44	60
DDX11-AS1	39	51	23	12
DDX11	928	858	497	524
FAM60A	2034	1976	1143	1163
FLJ13224	62	53	41	38
DENND5B	1173	1145	647	851
DENND5B-AS1	2	4	3	1
METTL20	51	54	24	25
AMN1	430	536	151	167
H3F3C	339	400	158	110
KIAA1551	2244	2326	1133	1132
BICD1	417	391	286	252
FGD4	278	292	148	195
DNM1L	3728	3923	2231	2339
YARS2	782	815	595	622
PKP2	416	414	291	317
SYT10	0	0	0	0
ALG10	594	814	278	330
ALG10B	1120	1466	503	581
CPNE8	836	832	469	522
KIF21A	2338	2284	1129	1269
ABCD2	69	63	23	43
C12orf40	0	0	1	0
SLC2A13	747	713	396	493
LRRK2	194	186	83	83
MUC19	48	54	54	50
CNTN1	1171	1241	515	574
PDZRN4	2	2	0	1
GXYLT1	1862	2123	1173	1391
YAF2	657	767	373	451
ZCRB1	2310	2502	830	818
MIR7851	3	4	2	3
PPHLN1	1231	1231	931	975
PRICKLE1	479	499	245	246
LOC101927058	0	0	1	0
ADAMTS20	172	160	114	115
PUS7L	2344	2511	1103	1295
IRAK4	697	687	320	309
TWF1	827	991	505	557
TMEM117	264	273	186	182
NELL2	725	633	226	305
DBX2	6	8	3	4
RACGAP1P	116	114	49	45
PLEKHA8P1	250	227	121	112
ANO6	2089	2029	942	1139
LINC00938	339	402	145	139
ARID2	2997	2889	2216	2301
SCAF11	3776	3958	2664	2832
SLC38A1	17361	16878	7607	8040
SLC38A2	17824	16785	6804	7554
LOC100288798	25	19	8	6
SLC38A4	18	9	8	5
AMIGO2	120	87	56	67
PCED1B	10	9	2	3
MIR4698	1	0	0	0
PCED1B-AS1	5	0	1	0
MIR4494	0	0	0	0
RPAP3	2900	3229	1522	1586
ENDOU	28	13	11	9
RAPGEF3	156	122	21	12
SLC48A1	199	164	74	77
HDAC7	311	272	139	186
VDR	120	131	84	122
TMEM106C	5348	5707	2240	2296
COL2A1	534	498	391	484
SENP1	2444	2501	1418	1436
PFKM	1729	1788	1125	1054
MIR6505	5	4	1	0
ASB8	632	624	371	355
CCDC184	28	31	27	35
OR10AD1	23	12	13	16
H1FNT	2	2	2	2
ZNF641	888	881	382	461
ANP32D	19	14	11	5
C12orf54	1	0	0	0
OR8S1	1	0	0	0
LALBA	0	1	0	1
KANSL2	1753	1819	736	797
SNORA34	15	22	6	27
MIR1291	0	1	0	0
SNORA2A	17	21	9	13
SNORA2B	11	8	5	2
CCNT1	6440	6623	3579	3829
LINC00935	1	1	0	0
ADCY6	805	779	380	451
MIR4701	5	1	0	1
LOC100506125	17	20	11	5
CACNB3	258	184	119	129
DDX23	1400	1211	1379	1375
RND1	46	41	40	31
CCDC65	99	85	48	51
FKBP11	145	118	68	81
ARF3	4064	3929	2611	2809
WNT10B	116	109	58	74
WNT1	0	0	0	0
DDN	36	26	55	56
PRKAG1	2363	2425	780	806
KMT2D	3059	3053	2381	2740
RHEBL1	115	150	49	52
DHH	3	4	5	3
LMBR1L	445	423	181	171
TUBA1B	9381	10081	6057	5830
TUBA1A	1202	1225	661	680
TUBA1C	2744	2463	2155	2116
LOC101927267	58	64	23	26
PRPH	31	28	8	8
TROAP	737	721	472	467
C1QL4	125	107	78	58
DNAJC22	197	178	76	113
SPATS2	977	954	518	577
LOC100335030	72	63	37	43
KCNH3	44	33	28	21
MCRS1	1086	975	767	763
FAM186B	87	72	57	60
PRPF40B	113	85	44	42
FMNL3	444	399	252	299
TMBIM6	13649	13643	6263	6387
NCKAP5L	345	299	273	277
BCDIN3D-AS1	109	96	30	42
BCDIN3D	270	257	116	117
FAIM2	2	2	1	0
LOC283332	0	0	0	0
LOC101927292	1	0	1	0
AQP2	0	0	5	2
LOC101927318	0	0	1	0
AQP5	1	0	0	1
AQP6	16	12	8	13
RACGAP1	4354	4630	2048	2177
ASIC1	731	687	391	474
SMARCD1	1735	1637	1189	1224
GPD1	7	4	4	6
COX14	461	494	276	277
CERS5	856	878	387	441
LIMA1	2286	2140	1051	1279
MIR1293	0	1	1	0
FAM186A	13	21	7	10
LARP4	5071	5557	3313	3798
DIP2B	1212	1382	1067	1192
ATF1	963	983	523	584
TMPRSS12	2	1	1	1
METTL7A	658	571	291	401
HIGD1C	3	1	5	0
SLC11A2	1463	1422	778	851
LETMD1	3043	3356	749	743
CSRNP2	1204	1159	598	639
TFCP2	941	1022	724	767
POU6F1	237	225	82	109
DAZAP2	2353	2404	1413	1531
SMAGP	189	157	73	69
BIN2	3	0	2	1
CELA1	0	0	0	1
GALNT6	224	213	101	120
SLC4A8	180	158	81	88
SCN8A	320	297	166	206
FIGNL2	60	64	11	16
ANKRD33	0	0	0	0
ACVRL1	14	18	6	7
ACVR1B	712	749	460	487
GRASP	21	28	9	13
NR4A1	278	269	142	119
ATG101	452	453	246	237
OR7E47P	0	1	0	2
KRT80	0	3	1	2
C12orf80	0	0	0	0
LINC00592	1	1	2	0
KRT7	0	0	0	0
KRT81	0	1	0	0
KRT86	0	1	0	1
KRT83	2	0	1	0
KRT85	0	0	0	0
KRT84	0	0	0	0
KRT82	1	0	0	0
KRT75	5	10	0	2
KRT6B	0	0	0	0
KRT6C	0	0	0	0
KRT6A	0	0	0	0
KRT5	0	0	0	0
KRT71	0	0	0	0
KRT74	0	0	1	0
KRT72	0	0	0	0
KRT73	0	0	0	0
KRT73-AS1	0	0	0	0
KRT2	0	0	0	0
KRT1	0	0	0	1
KRT77	0	0	0	0
KRT76	0	0	0	0
KRT3	0	0	0	0
KRT4	0	0	1	0
KRT79	0	0	0	0
KRT78	0	2	1	1
KRT8	194	218	94	78
KRT18	382	297	208	211
EIF4B	14633	14049	6743	6965
LOC283335	122	75	51	44
TNS2	70	56	29	32
MIR6757	1	0	0	0
SPRYD3	126	134	80	94
IGFBP6	13	15	13	5
SOAT2	0	0	3	1
CSAD	223	199	80	70
ZNF740	1961	1811	868	892
ITGB7	68	62	23	19
RARG	191	172	145	157
MFSD5	146	152	181	186
ESPL1	1612	1562	905	922
PFDN5	3893	4143	1567	1619
C12orf10	448	449	268	246
AAAS	1090	1031	683	647
SP7	13	9	2	10
SP1	6454	6241	3210	3471
AMHR2	23	24	5	6
PRR13	495	521	311	349
PCBP2	9748	10043	4387	4790
PCBP2-OT1	61	59	22	26
MAP3K12	264	268	159	129
TARBP2	324	337	194	194
NPFF	15	6	10	12
ATF7	737	840	444	473
LOC100652999	3	4	0	1
ATP5G2	4628	5069	1796	1682
CALCOCO1	1039	936	333	359
CISTR	0	0	0	0
HOXC13-AS	26	26	24	29
HOXC13	224	220	162	195
HOXC12	3	2	1	2
HOTAIR	300	338	233	290
HOXC11	358	338	265	245
HOXC-AS3	5	3	6	1
HOXC10	403	367	301	377
MIR196A2	2	2	4	4
HOXC-AS2	88	73	48	57
HOXC-AS1	100	83	41	37
HOXC9	301	246	221	192
HOXC8	267	278	202	228
HOXC4	885	818	373	395
HOXC5	71	78	53	54
HOXC6	519	527	331	369
MIR615	6	10	6	3
FLJ12825	44	36	23	22
LOC100240735	23	21	16	18
LOC100240734	7	4	6	2
LOC400043	647	579	342	381
SMUG1	564	531	231	274
CBX5	14020	14694	5875	6603
MIR3198-2	0	0	0	0
HNRNPA1	10683	13254	4912	5630
NFE2	6	3	9	7
COPZ1	6876	7084	2629	2715
MIR148B	5	13	0	3
LOC102724050	12	12	11	4
GPR84	3	1	2	0
ZNF385A	135	126	100	129
ITGA5	607	611	297	325
GTSF1	0	1	1	0
NCKAP1L	6	5	13	13
PDE1B	38	35	23	42
PPP1R1A	62	58	31	41
GLYCAM1	0	0	0	0
LACRT	0	0	0	0
DCD	1	0	0	0
MUCL1	0	0	0	0
TESPA1	0	0	2	0
NEUROD4	0	0	2	1
OR9K2	0	0	0	0
OR10A7	0	0	0	0
OR6C74	0	0	0	0
OR6C6	0	0	0	3
OR6C1	0	0	1	0
OR6C3	0	0	0	0
OR6C75	0	0	0	0
OR6C65	1	0	1	0
OR6C76	0	0	1	2
OR6C2	0	0	0	1
OR6C70	0	0	0	1
OR6C68	0	1	0	0
OR6C4	0	0	0	0
OR2AP1	0	0	0	0
OR10P1	0	0	0	0
METTL7B	42	42	39	29
ITGA7	274	216	135	133
BLOC1S1	370	384	164	171
BLOC1S1-RDH5	0	0	0	0
RDH5	8	7	6	3
CD63	2099	2183	1266	1456
GDF11	485	397	336	417
SARNP	1876	2032	771	857
ORMDL2	524	570	242	250
DNAJC14	792	791	614	641
TMEM198B	164	152	76	87
MMP19	5	12	7	8
WIBG	325	333	147	171
DGKA	242	247	148	162
PMEL	94	69	36	48
CDK2	3349	3661	1736	1760
RAB5B	2583	2569	1166	1249
SUOX	256	238	171	157
IKZF4	115	112	68	87
RPS26	107	136	86	114
ERBB3	215	179	112	134
PA2G4	4968	5293	3658	3999
RPL41	466	495	181	222
ZC3H10	324	266	176	170
ESYT1	1360	1461	980	1089
MYL6B	1187	1091	501	559
MYL6	4519	5049	2683	2807
SMARCC2	2504	2480	1236	1413
RNF41	1523	1605	774	865
NABP2	627	659	442	498
SLC39A5	17	17	13	6
ANKRD52	1445	1356	1206	1335
COQ10A	689	643	273	308
CS	3524	3164	2259	2377
CNPY2	1610	1609	910	963
PAN2	2021	2007	620	624
IL23A	32	29	9	18
STAT2	913	929	396	489
APOF	9	8	1	3
TIMELESS	3025	2970	1628	1765
MIP	11	14	11	13
SPRYD4	233	206	150	143
GLS2	243	230	149	149
RBMS2	885	897	454	495
BAZ2A	3273	3168	2076	2454
ATP5B	15986	15660	9478	9145
SNORD59B	11	15	13	10
SNORD59A	19	21	10	13
PTGES3	8249	9507	5850	6588
NACA	21393	23060	7469	7778
PRIM1	2525	2894	1042	1082
HSD17B6	250	225	74	95
SDR9C7	3	3	0	5
RDH16	34	20	3	7
GPR182	15	37	8	10
ZBTB39	893	910	515	574
TAC3	5	3	3	3
MYO1A	20	14	14	19
NEMP1	4964	5448	2282	2551
NAB2	385	392	229	248
STAT6	439	408	291	346
LRP1	1813	1872	574	662
LRP1-AS	6	9	3	2
MIR1228	0	0	0	0
NXPH4	102	100	73	100
SHMT2	5949	5721	1962	1894
NDUFA4L2	28	35	12	10
STAC3	99	89	35	30
R3HDM2	1855	1889	626	721
INHBC	24	21	7	6
INHBE	262	168	19	15
